station_poi_desc_cd,line_name,transition_date,number_of_passenger
15 Temmuz,M9,2024-09-01,1602
15 Temmuz,M9,2024-09-04,2992
15 Temmuz,M9,2024-09-05,3042
15 Temmuz,M9,2024-09-06,3095
15 Temmuz,M9,2024-09-07,2324
15 Temmuz,M9,2024-09-08,1674
15 Temmuz,M9,2024-09-09,1770
29 Ekim Cumhuriyet,M9,2024-09-01,626
29 Ekim Cumhuriyet,M9,2024-09-04,3682
29 Ekim Cumhuriyet,M9,2024-09-05,3609
29 Ekim Cumhuriyet,M9,2024-09-06,3626
29 Ekim Cumhuriyet,M9,2024-09-07,1512
29 Ekim Cumhuriyet,M9,2024-09-08,681
29 Ekim Cumhuriyet,M9,2024-09-09,1032
ACIBADEM,M4,2024-09-01,2064
ACIBADEM,M4,2024-09-04,4646
ACIBADEM,M4,2024-09-05,4750
ACIBADEM,M4,2024-09-06,5012
ACIBADEM,M4,2024-09-07,3568
ACIBADEM,M4,2024-09-08,2283
ACIBADEM,M4,2024-09-09,3037
ALTINSEHIR,M5,2024-09-01,4254
ALTINSEHIR,M5,2024-09-02,1
ALTINSEHIR,M5,2024-09-04,7142
ALTINSEHIR,M5,2024-09-05,7130
ALTINSEHIR,M5,2024-09-06,7260
ALTINSEHIR,M5,2024-09-07,6118
ALTINSEHIR,M5,2024-09-08,4308
ALTINSEHIR,M5,2024-09-09,6278
ATATURK MAHALLESI,M9,2024-09-01,2309
ATATURK MAHALLESI,M9,2024-09-03,2
ATATURK MAHALLESI,M9,2024-09-04,3589
ATATURK MAHALLESI,M9,2024-09-05,3589
ATATURK MAHALLESI,M9,2024-09-06,3609
ATATURK MAHALLESI,M9,2024-09-07,3321
ATATURK MAHALLESI,M9,2024-09-08,2214
ATATURK MAHALLESI,M9,2024-09-09,3278
AYSE KADIN,M8,2024-09-01,1237
AYSE KADIN,M8,2024-09-04,2424
AYSE KADIN,M8,2024-09-05,2618
AYSE KADIN,M8,2024-09-06,2559
AYSE KADIN,M8,2024-09-07,2003
AYSE KADIN,M8,2024-09-08,1357
AYSE KADIN,M8,2024-09-09,1210
Aksaray,M1,2024-09-01,10082
Aksaray,M1,2024-09-02,1
Aksaray,M1,2024-09-03,1
Aksaray,M1,2024-09-04,16276
Aksaray,M1,2024-09-05,16316
Aksaray,M1,2024-09-06,17406
Aksaray,M1,2024-09-07,15718
Aksaray,M1,2024-09-08,10315
Aksaray,M1,2024-09-09,6235
Alibeyköy,M7,2024-09-01,10034
Alibeyköy,M7,2024-09-03,2
Alibeyköy,M7,2024-09-04,15915
Alibeyköy,M7,2024-09-05,15794
Alibeyköy,M7,2024-09-06,16113
Alibeyköy,M7,2024-09-07,13706
Alibeyköy,M7,2024-09-08,9650
Alibeyköy,M7,2024-09-09,10623
Altunizade,M5,2024-09-01,12686
Altunizade,M5,2024-09-02,14
Altunizade,M5,2024-09-04,26891
Altunizade,M5,2024-09-05,27275
Altunizade,M5,2024-09-06,27344
Altunizade,M5,2024-09-07,19006
Altunizade,M5,2024-09-08,13819
Altunizade,M5,2024-09-09,9855
Ataköy,M9,2024-09-01,2021
Ataköy,M9,2024-09-04,3509
Ataköy,M9,2024-09-05,3947
Ataköy,M9,2024-09-06,3329
Ataköy,M9,2024-09-07,2687
Ataköy,M9,2024-09-08,1833
Ataköy,M9,2024-09-09,1622
Ataköy-Şirinevler,M1,2024-09-01,11765
Ataköy-Şirinevler,M1,2024-09-02,1
Ataköy-Şirinevler,M1,2024-09-03,6
Ataköy-Şirinevler,M1,2024-09-04,16041
Ataköy-Şirinevler,M1,2024-09-05,16586
Ataköy-Şirinevler,M1,2024-09-06,16853
Ataköy-Şirinevler,M1,2024-09-07,15703
Ataköy-Şirinevler,M1,2024-09-08,11655
Ataköy-Şirinevler,M1,2024-09-09,11932
Atatürk Oto Sanayi,M2,2024-09-01,1596
Atatürk Oto Sanayi,M2,2024-09-04,6974
Atatürk Oto Sanayi,M2,2024-09-05,7142
Atatürk Oto Sanayi,M2,2024-09-06,6677
Atatürk Oto Sanayi,M2,2024-09-07,3452
Atatürk Oto Sanayi,M2,2024-09-08,1680
Atatürk Oto Sanayi,M2,2024-09-09,2676
Ayrılık Çeşmesi,M4,2024-09-01,13964
Ayrılık Çeşmesi,M4,2024-09-02,3
Ayrılık Çeşmesi,M4,2024-09-04,22765
Ayrılık Çeşmesi,M4,2024-09-05,23293
Ayrılık Çeşmesi,M4,2024-09-06,24249
Ayrılık Çeşmesi,M4,2024-09-07,20160
Ayrılık Çeşmesi,M4,2024-09-08,15399
Ayrılık Çeşmesi,M4,2024-09-09,12208
Bahariye,M9,2024-09-01,2521
Bahariye,M9,2024-09-04,4546
Bahariye,M9,2024-09-05,4671
Bahariye,M9,2024-09-06,4714
Bahariye,M9,2024-09-07,3947
Bahariye,M9,2024-09-08,2722
Bahariye,M9,2024-09-09,3741
Bahçelievler,M1,2024-09-01,2995
Bahçelievler,M1,2024-09-03,1
Bahçelievler,M1,2024-09-04,5990
Bahçelievler,M1,2024-09-05,6187
Bahçelievler,M1,2024-09-06,6285
Bahçelievler,M1,2024-09-07,4480
Bahçelievler,M1,2024-09-08,2976
Bahçelievler,M1,2024-09-09,4415
