station_poi_desc_cd,line_name,transition_date,transition_hour,number_of_passenger
15 Temmuz,M9,2024-09-01,0,1
15 Temmuz,M9,2024-09-01,5,2
15 Temmuz,M9,2024-09-01,6,26
15 Temmuz,M9,2024-09-01,7,60
15 Temmuz,M9,2024-09-01,8,84
15 Temmuz,M9,2024-09-01,9,75
15 Temmuz,M9,2024-09-01,10,57
15 Temmuz,M9,2024-09-01,11,62
15 Temmuz,M9,2024-09-01,12,110
15 Temmuz,M9,2024-09-01,13,132
15 Temmuz,M9,2024-09-01,14,191
15 Temmuz,M9,2024-09-01,15,187
15 Temmuz,M9,2024-09-01,16,144
15 Temmuz,M9,2024-09-01,17,108
15 Temmuz,M9,2024-09-01,18,101
15 Temmuz,M9,2024-09-01,19,78
15 Temmuz,M9,2024-09-01,20,77
15 Temmuz,M9,2024-09-01,21,30
15 Temmuz,M9,2024-09-01,22,49
15 Temmuz,M9,2024-09-01,23,28
15 Temmuz,M9,2024-09-04,0,1
15 Temmuz,M9,2024-09-04,5,7
15 Temmuz,M9,2024-09-04,6,113
15 Temmuz,M9,2024-09-04,7,394
15 Temmuz,M9,2024-09-04,8,367
15 Temmuz,M9,2024-09-04,9,142
15 Temmuz,M9,2024-09-04,10,98
15 Temmuz,M9,2024-09-04,11,86
15 Temmuz,M9,2024-09-04,12,125
15 Temmuz,M9,2024-09-04,13,153
15 Temmuz,M9,2024-09-04,14,121
15 Temmuz,M9,2024-09-04,15,143
15 Temmuz,M9,2024-09-04,16,185
15 Temmuz,M9,2024-09-04,17,320
15 Temmuz,M9,2024-09-04,18,350
15 Temmuz,M9,2024-09-04,19,173
15 Temmuz,M9,2024-09-04,20,102
15 Temmuz,M9,2024-09-04,21,55
15 Temmuz,M9,2024-09-04,22,35
15 Temmuz,M9,2024-09-04,23,22
15 Temmuz,M9,2024-09-05,0,1
15 Temmuz,M9,2024-09-05,5,4
15 Temmuz,M9,2024-09-05,6,120
15 Temmuz,M9,2024-09-05,7,403
15 Temmuz,M9,2024-09-05,8,343
15 Temmuz,M9,2024-09-05,9,170
15 Temmuz,M9,2024-09-05,10,88
15 Temmuz,M9,2024-09-05,11,67
15 Temmuz,M9,2024-09-05,12,103
15 Temmuz,M9,2024-09-05,13,146
15 Temmuz,M9,2024-09-05,14,124
15 Temmuz,M9,2024-09-05,15,176
15 Temmuz,M9,2024-09-05,16,172
15 Temmuz,M9,2024-09-05,17,339
15 Temmuz,M9,2024-09-05,18,389
15 Temmuz,M9,2024-09-05,19,185
15 Temmuz,M9,2024-09-05,20,93
15 Temmuz,M9,2024-09-05,21,43
15 Temmuz,M9,2024-09-05,22,48
15 Temmuz,M9,2024-09-05,23,28
15 Temmuz,M9,2024-09-06,0,2
15 Temmuz,M9,2024-09-06,5,6
15 Temmuz,M9,2024-09-06,6,114
15 Temmuz,M9,2024-09-06,7,381
15 Temmuz,M9,2024-09-06,8,361
15 Temmuz,M9,2024-09-06,9,137
15 Temmuz,M9,2024-09-06,10,82
15 Temmuz,M9,2024-09-06,11,101
15 Temmuz,M9,2024-09-06,12,119
15 Temmuz,M9,2024-09-06,13,135
15 Temmuz,M9,2024-09-06,14,144
15 Temmuz,M9,2024-09-06,15,168
15 Temmuz,M9,2024-09-06,16,145
15 Temmuz,M9,2024-09-06,17,349
15 Temmuz,M9,2024-09-06,18,395
15 Temmuz,M9,2024-09-06,19,208
15 Temmuz,M9,2024-09-06,20,110
15 Temmuz,M9,2024-09-06,21,56
15 Temmuz,M9,2024-09-06,22,48
15 Temmuz,M9,2024-09-06,23,34
15 Temmuz,M9,2024-09-07,0,2
15 Temmuz,M9,2024-09-07,5,3
15 Temmuz,M9,2024-09-07,6,68
15 Temmuz,M9,2024-09-07,7,192
15 Temmuz,M9,2024-09-07,8,190
15 Temmuz,M9,2024-09-07,9,113
15 Temmuz,M9,2024-09-07,10,110
15 Temmuz,M9,2024-09-07,11,109
15 Temmuz,M9,2024-09-07,12,152
15 Temmuz,M9,2024-09-07,13,189
15 Temmuz,M9,2024-09-07,14,165
15 Temmuz,M9,2024-09-07,15,204
15 Temmuz,M9,2024-09-07,16,145
15 Temmuz,M9,2024-09-07,17,188
15 Temmuz,M9,2024-09-07,18,137
15 Temmuz,M9,2024-09-07,19,145
15 Temmuz,M9,2024-09-07,20,77
15 Temmuz,M9,2024-09-07,21,49
15 Temmuz,M9,2024-09-07,22,36
15 Temmuz,M9,2024-09-07,23,50
15 Temmuz,M9,2024-09-08,0,1
15 Temmuz,M9,2024-09-08,5,3
15 Temmuz,M9,2024-09-08,6,29
15 Temmuz,M9,2024-09-08,7,80
15 Temmuz,M9,2024-09-08,8,76
15 Temmuz,M9,2024-09-08,9,83
15 Temmuz,M9,2024-09-08,10,75
15 Temmuz,M9,2024-09-08,11,95
15 Temmuz,M9,2024-09-08,12,103
15 Temmuz,M9,2024-09-08,13,148
15 Temmuz,M9,2024-09-08,14,189
15 Temmuz,M9,2024-09-08,15,188
15 Temmuz,M9,2024-09-08,16,144
15 Temmuz,M9,2024-09-08,17,104
15 Temmuz,M9,2024-09-08,18,85
15 Temmuz,M9,2024-09-08,19,96
15 Temmuz,M9,2024-09-08,20,66
15 Temmuz,M9,2024-09-08,21,41
15 Temmuz,M9,2024-09-08,22,46
15 Temmuz,M9,2024-09-08,23,22
15 Temmuz,M9,2024-09-09,5,9
15 Temmuz,M9,2024-09-09,6,122
15 Temmuz,M9,2024-09-09,7,417
15 Temmuz,M9,2024-09-09,8,281
15 Temmuz,M9,2024-09-09,9,223
15 Temmuz,M9,2024-09-09,10,99
15 Temmuz,M9,2024-09-09,11,98
15 Temmuz,M9,2024-09-09,12,137
15 Temmuz,M9,2024-09-09,13,131
15 Temmuz,M9,2024-09-09,14,136
15 Temmuz,M9,2024-09-09,15,117
29 Ekim Cumhuriyet,M9,2024-09-01,6,11
29 Ekim Cumhuriyet,M9,2024-09-01,7,22
29 Ekim Cumhuriyet,M9,2024-09-01,8,39
29 Ekim Cumhuriyet,M9,2024-09-01,9,26
29 Ekim Cumhuriyet,M9,2024-09-01,10,19
29 Ekim Cumhuriyet,M9,2024-09-01,11,16
29 Ekim Cumhuriyet,M9,2024-09-01,12,35
29 Ekim Cumhuriyet,M9,2024-09-01,13,50
29 Ekim Cumhuriyet,M9,2024-09-01,14,40
29 Ekim Cumhuriyet,M9,2024-09-01,15,51
29 Ekim Cumhuriyet,M9,2024-09-01,16,55
29 Ekim Cumhuriyet,M9,2024-09-01,17,64
29 Ekim Cumhuriyet,M9,2024-09-01,18,65
29 Ekim Cumhuriyet,M9,2024-09-01,19,49
29 Ekim Cumhuriyet,M9,2024-09-01,20,34
29 Ekim Cumhuriyet,M9,2024-09-01,21,33
29 Ekim Cumhuriyet,M9,2024-09-01,22,10
29 Ekim Cumhuriyet,M9,2024-09-01,23,7
29 Ekim Cumhuriyet,M9,2024-09-04,0,1
29 Ekim Cumhuriyet,M9,2024-09-04,5,2
29 Ekim Cumhuriyet,M9,2024-09-04,6,61
29 Ekim Cumhuriyet,M9,2024-09-04,7,130
29 Ekim Cumhuriyet,M9,2024-09-04,8,115
29 Ekim Cumhuriyet,M9,2024-09-04,9,101
29 Ekim Cumhuriyet,M9,2024-09-04,10,62
29 Ekim Cumhuriyet,M9,2024-09-04,11,63
29 Ekim Cumhuriyet,M9,2024-09-04,12,81
29 Ekim Cumhuriyet,M9,2024-09-04,13,94
29 Ekim Cumhuriyet,M9,2024-09-04,14,88
29 Ekim Cumhuriyet,M9,2024-09-04,15,112
29 Ekim Cumhuriyet,M9,2024-09-04,16,187
29 Ekim Cumhuriyet,M9,2024-09-04,17,443
29 Ekim Cumhuriyet,M9,2024-09-04,18,997
29 Ekim Cumhuriyet,M9,2024-09-04,19,905
29 Ekim Cumhuriyet,M9,2024-09-04,20,103
29 Ekim Cumhuriyet,M9,2024-09-04,21,39
29 Ekim Cumhuriyet,M9,2024-09-04,22,59
29 Ekim Cumhuriyet,M9,2024-09-04,23,39
29 Ekim Cumhuriyet,M9,2024-09-05,0,2
29 Ekim Cumhuriyet,M9,2024-09-05,5,1
29 Ekim Cumhuriyet,M9,2024-09-05,6,59
29 Ekim Cumhuriyet,M9,2024-09-05,7,130
29 Ekim Cumhuriyet,M9,2024-09-05,8,119
29 Ekim Cumhuriyet,M9,2024-09-05,9,73
29 Ekim Cumhuriyet,M9,2024-09-05,10,51
29 Ekim Cumhuriyet,M9,2024-09-05,11,60
29 Ekim Cumhuriyet,M9,2024-09-05,12,80
29 Ekim Cumhuriyet,M9,2024-09-05,13,92
29 Ekim Cumhuriyet,M9,2024-09-05,14,111
29 Ekim Cumhuriyet,M9,2024-09-05,15,96
29 Ekim Cumhuriyet,M9,2024-09-05,16,174
29 Ekim Cumhuriyet,M9,2024-09-05,17,415
29 Ekim Cumhuriyet,M9,2024-09-05,18,969
29 Ekim Cumhuriyet,M9,2024-09-05,19,905
29 Ekim Cumhuriyet,M9,2024-09-05,20,145
29 Ekim Cumhuriyet,M9,2024-09-05,21,44
29 Ekim Cumhuriyet,M9,2024-09-05,22,43
29 Ekim Cumhuriyet,M9,2024-09-05,23,40
29 Ekim Cumhuriyet,M9,2024-09-06,5,5
29 Ekim Cumhuriyet,M9,2024-09-06,6,42
29 Ekim Cumhuriyet,M9,2024-09-06,7,134
29 Ekim Cumhuriyet,M9,2024-09-06,8,118
29 Ekim Cumhuriyet,M9,2024-09-06,9,82
29 Ekim Cumhuriyet,M9,2024-09-06,10,61
29 Ekim Cumhuriyet,M9,2024-09-06,11,70
29 Ekim Cumhuriyet,M9,2024-09-06,12,85
29 Ekim Cumhuriyet,M9,2024-09-06,13,85
29 Ekim Cumhuriyet,M9,2024-09-06,14,115
29 Ekim Cumhuriyet,M9,2024-09-06,15,119
29 Ekim Cumhuriyet,M9,2024-09-06,16,221
29 Ekim Cumhuriyet,M9,2024-09-06,17,472
29 Ekim Cumhuriyet,M9,2024-09-06,18,926
29 Ekim Cumhuriyet,M9,2024-09-06,19,802
29 Ekim Cumhuriyet,M9,2024-09-06,20,148
29 Ekim Cumhuriyet,M9,2024-09-06,21,71
29 Ekim Cumhuriyet,M9,2024-09-06,22,39
29 Ekim Cumhuriyet,M9,2024-09-06,23,31
29 Ekim Cumhuriyet,M9,2024-09-07,0,1
29 Ekim Cumhuriyet,M9,2024-09-07,5,1
29 Ekim Cumhuriyet,M9,2024-09-07,6,34
29 Ekim Cumhuriyet,M9,2024-09-07,7,60
29 Ekim Cumhuriyet,M9,2024-09-07,8,84
29 Ekim Cumhuriyet,M9,2024-09-07,9,53
29 Ekim Cumhuriyet,M9,2024-09-07,10,59
29 Ekim Cumhuriyet,M9,2024-09-07,11,50
29 Ekim Cumhuriyet,M9,2024-09-07,12,122
29 Ekim Cumhuriyet,M9,2024-09-07,13,163
29 Ekim Cumhuriyet,M9,2024-09-07,14,195
29 Ekim Cumhuriyet,M9,2024-09-07,15,160
29 Ekim Cumhuriyet,M9,2024-09-07,16,141
29 Ekim Cumhuriyet,M9,2024-09-07,17,139
29 Ekim Cumhuriyet,M9,2024-09-07,18,79
29 Ekim Cumhuriyet,M9,2024-09-07,19,55
29 Ekim Cumhuriyet,M9,2024-09-07,20,60
29 Ekim Cumhuriyet,M9,2024-09-07,21,31
