Line,Station,Direction,transition_date,transition_hour,number_of_passenger,RemainingCapacity
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,0,40,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,0,5,440.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,0,10,443.8
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,0,0,441.76
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,0,5,450.18
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,0,19,451.74
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,0,0,438.96
M2,Levent,Hacıosman to Yenikapı,2024-09-01,0,241,447.98
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,0,232,221.39
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,0,372,105.77
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,0,466,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,0,814,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,0,407,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,0,202,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,0,0,0.0
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,0,370,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,0,370,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,0,0,110.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,0,202,191.4
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,0,407,52.89
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,0,814,0.0
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,0,466,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,0,372,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,0,232,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,0,241,0.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,0,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,0,19,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,0,5,168.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,0,0,232.4
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,0,10,286.87
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,0,5,319.36
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,0,40,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,1,11,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,1,2,469.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,1,3,469.42
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,1,0,468.75
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,1,0,471.22
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,1,10,473.15
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,1,0,464.66
M2,Levent,Hacıosman to Yenikapı,2024-09-01,1,114,468.03
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,1,66,359.42
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,1,145,347.68
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,1,160,262.22
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,1,487,150.13
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,1,254,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,1,99,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,1,0,6.6
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,1,154,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,1,154,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,1,0,326.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,1,99,359.88
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,1,254,287.31
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,1,487,75.7
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,1,160,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,1,145,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,1,66,71.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,1,114,189.05
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,1,0,205.98
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,1,10,266.26
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,1,0,303.28
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,1,0,342.16
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,1,3,372.49
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,1,2,393.14
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,1,11,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,2,4,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,2,0,476.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,2,3,476.88
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,2,0,474.57
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,2,0,475.76
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,2,4,476.69
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,2,0,473.42
M2,Levent,Hacıosman to Yenikapı,2024-09-01,2,50,474.87
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,2,21,427.18
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,2,56,429.95
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,2,47,396.47
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,2,286,367.85
