Date,Station,Line,Direction,Hour,Additional_Trips,Passenger_Demand,Current_Trips,Capacity_Per_Trip
2024-09-01,Gayrettepe,M2,Hacıosman to Yenikapı,17,1,910,9,100.0
2024-09-01,Gayrettepe,M2,Yenikapı to Hacıosman,17,1,910,9,100.0
2024-09-01,Levent,M2,Hacıosman to Yenikapı,16,4,2135,9,172.0
2024-09-01,Levent,M2,Hacıosman to Yenikapı,17,4,2153,9,172.0
2024-09-01,Levent,M2,Hacıosman to Yenikapı,18,3,2008,9,172.0
2024-09-01,Levent,M2,Yenikapı to Hacıosman,7,2,709,6,100.0
2024-09-01,Levent,M2,Yenikapı to Hacıosman,8,3,899,6,100.0
2024-09-01,Levent,M2,Yenikapı to Hacıosman,9,4,913,6,100.0
2024-09-01,Levent,M2,Yenikapı to Hacıosman,16,13,2135,9,100.0
2024-09-01,Levent,M2,Yenikapı to Hacıosman,17,13,2153,9,100.0
2024-09-01,Levent,M2,Yenikapı to Hacıosman,18,12,2008,9,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,7,5,1050,6,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,8,6,1142,6,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,9,8,1334,6,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,16,20,2819,9,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,17,17,2522,9,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,18,17,2589,9,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,7,5,1050,6,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,8,6,1142,6,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,9,8,1334,6,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,16,20,2819,9,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,17,17,2522,9,100.0
2024-09-01,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,18,17,2589,9,100.0
2024-09-04,Bostancı,M4,Kadıköy to Tavşantepe,7,5,1064,6,100.0
2024-09-04,Bostancı,M4,Kadıköy to Tavşantepe,8,8,1286,5,100.0
2024-09-04,Bostancı,M4,Kadıköy to Tavşantepe,17,4,1141,8,100.0
2024-09-04,Bostancı,M4,Kadıköy to Tavşantepe,18,5,1371,9,100.0
2024-09-04,Bostancı,M4,Tavşantepe to Kadıköy,7,5,1064,6,100.0
2024-09-04,Bostancı,M4,Tavşantepe to Kadıköy,8,8,1286,5,100.0
2024-09-04,Bostancı,M4,Tavşantepe to Kadıköy,17,4,1141,8,100.0
2024-09-04,Bostancı,M4,Tavşantepe to Kadıköy,18,5,1371,9,100.0
2024-09-04,Dudullu,M5,Samandıra Merkez to Üsküdar,7,5,1092,6,100.0
2024-09-04,Dudullu,M5,Samandıra Merkez to Üsküdar,8,10,1460,5,100.0
2024-09-04,Dudullu,M5,Samandıra Merkez to Üsküdar,16,3,1009,8,100.0
2024-09-04,Dudullu,M5,Samandıra Merkez to Üsküdar,17,10,1792,8,100.0
2024-09-04,Dudullu,M5,Samandıra Merkez to Üsküdar,18,25,3368,9,100.0
2024-09-04,Dudullu,M5,Üsküdar to Samandıra Merkez,8,3,1460,5,199.9
2024-09-04,Dudullu,M5,Üsküdar to Samandıra Merkez,17,1,1792,8,199.9
2024-09-04,Dudullu,M5,Üsküdar to Samandıra Merkez,18,8,3368,9,199.9
2024-09-04,Dudullu,M8,Bostancı to Parseller,7,8,1541,6,111.1
2024-09-04,Dudullu,M8,Bostancı to Parseller,8,15,2142,5,111.1
2024-09-04,Dudullu,M8,Bostancı to Parseller,17,1,990,8,111.1
2024-09-04,Dudullu,M8,Bostancı to Parseller,18,3,1280,9,111.1
2024-09-04,Dudullu,M8,Parseller to Bostancı,7,10,1541,6,100.0
2024-09-04,Dudullu,M8,Parseller to Bostancı,8,17,2142,5,100.0
2024-09-04,Dudullu,M8,Parseller to Bostancı,9,1,850,8,100.0
2024-09-04,Dudullu,M8,Parseller to Bostancı,17,2,990,8,100.0
2024-09-04,Dudullu,M8,Parseller to Bostancı,18,4,1280,9,100.0
2024-09-04,Gayrettepe,M2,Hacıosman to Yenikapı,7,13,1849,6,100.0
