Station,Line,Direction,Hour,Additional_Trips,Passenger_Demand,Current_Trips,Capacity_Per_Trip
Bostancı,M4,Kadıköy to Tavşantepe,7,6,1084.5,6.0,100.0
Bostancı,M4,Kadıköy to Tavşantepe,8,9,1353.5,5.0,100.0
Bostancı,M4,Kadıköy to Tavşantepe,9,3,1016.0,8.0,100.0
Bostancı,M4,Kadıköy to Tavşantepe,17,4,1111.0,8.0,100.0
Bostancı,M4,Kadıköy to Tavşantepe,18,5,1365.6666666666667,9.0,100.0
Bostancı,M4,Tavşantepe to Kadıköy,7,6,1084.5,6.0,100.0
Bostancı,M4,Tavşantepe to Kadıköy,8,9,1353.5,5.0,100.0
Bostancı,M4,Tavşantepe to Kadıköy,9,3,1016.0,8.0,100.0
Bostancı,M4,Tavşantepe to Kadıköy,17,4,1111.0,8.0,100.0
Bostancı,M4,Tavşantepe to Kadıköy,18,5,1365.6666666666667,9.0,100.0
Dudullu,M5,Samandıra Merkez to Üsküdar,7,6,1104.0,6.0,100.0
Dudullu,M5,Samandıra Merkez to Üsküdar,8,10,1395.2,5.0,100.0
Dudullu,M5,Samandıra Merkez to Üsküdar,9,4,1114.5,8.0,100.0
Dudullu,M5,Samandıra Merkez to Üsküdar,16,4,1101.75,8.0,100.0
Dudullu,M5,Samandıra Merkez to Üsküdar,17,8,1561.0,8.0,100.0
Dudullu,M5,Samandıra Merkez to Üsküdar,18,20,2780.75,9.0,100.0
Dudullu,M5,Üsküdar to Samandıra Merkez,8,3,1584.0,5.0,240.98
Dudullu,M5,Üsküdar to Samandıra Merkez,17,1,1933.0,8.0,240.98
Dudullu,M5,Üsküdar to Samandıra Merkez,18,5,3256.3333333333335,9.0,240.98
Dudullu,M8,Bostancı to Parseller,7,9,1596.25,6.0,115.66
Dudullu,M8,Bostancı to Parseller,8,14,2070.0,5.0,115.66
Dudullu,M8,Bostancı to Parseller,9,5,1427.0,8.0,115.66
Dudullu,M8,Bostancı to Parseller,17,2,989.6666666666666,8.0,115.66000000000001
Dudullu,M8,Bostancı to Parseller,18,3,1281.3333333333333,9.0,115.66000000000001
